,has_media,hashtags,img_urls,is_replied,is_reply_to,likes,links,parent_tweet_id,replies,reply_to_users,retweets,screen_name,text,text_html,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username,video_url
0,False,[],[],False,False,0,['https://elpais.com/internacional/2020/01/15/america/1579048566_286013.html?ssm=TW_CC'],,0,[],0,Georgeburgos100,Giammattei asume la presidencia de Guatemala con la promesa de atajar la corrupción https://elpais.com/internacional/2020/01/15/america/1579048566_286013.html?ssm=TW_CC … vía @elpais_inter,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><strong>Giammattei</strong> asume la presidencia de Guatemala con la promesa de atajar la corrupción <a class=""twitter-timeline-link"" data-expanded-url=""https://elpais.com/internacional/2020/01/15/america/1579048566_286013.html?ssm=TW_CC"" dir=""ltr"" href=""https://t.co/moA2WqjYf3"" rel=""nofollow noopener"" target=""_blank"" title=""https://elpais.com/internacional/2020/01/15/america/1579048566_286013.html?ssm=TW_CC""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">elpais.com/internacional/</span><span class=""invisible"">2020/01/15/america/1579048566_286013.html?ssm=TW_CC</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> vía <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""381583235"" dir=""ltr"" href=""/elpais_inter""><s>@</s><b>elpais_inter</b></a></p>",2020-02-02 23:54:40,1580687680,1224118971206717440,/Georgeburgos100/status/1224118971206717440,214742102,jorge burgos garcia,
1,False,[],[],True,True,0,[],1224114031927136256,1,"[{'screen_name': 'iRomslim', 'user_id': '226689501'}, {'screen_name': 'mingobguate', 'user_id': '89030065'}, {'screen_name': 'info502', 'user_id': '107486286'}]",0,willysoup,"al excelentísimo doctor Giammattei no lo vas a estar chingando con tus problemas viales, es cuilapa, no esperés mucho","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">al excelentísimo doctor <strong>Giammattei</strong> no lo vas a estar chingando con tus problemas viales, es cuilapa, no esperés mucho</p>",2020-02-02 23:48:26,1580687306,1224117404776747010,/willysoup/status/1224117404776747010,337998651,𝙒𝙞𝙡𝙡𝙮,
2,False,[],[],True,False,137,['http://bit.ly/2Uf9ZW5'],,4,[],26,el_Periodico,"El anuncio del presidente Alejandro Giammattei sobre la realización de un censo para detectar la existencia de plazas fantasma en el Organismo Ejecutivo, reintroduce la necesidad de una reforma en todas las instituciones del Estado. http://bit.ly/2Uf9ZW5 ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">El anuncio del presidente Alejandro <strong>Giammattei</strong> sobre la realización de un censo para detectar la existencia de plazas fantasma en el Organismo Ejecutivo, reintroduce la necesidad de una reforma en todas las instituciones del Estado. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://bit.ly/2Uf9ZW5"" dir=""ltr"" href=""https://t.co/FGXL66RKHu"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2Uf9ZW5""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2Uf9ZW5</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",2020-02-02 23:30:00,1580686200,1224112763330428928,/el_Periodico/status/1224112763330428928,19624061,elPeriódico,
3,False,[],[],False,False,0,[],,0,[],0,bidoguate1988,Si Giammattei quiere darse un Hit esta semana debería buscar la destitución de la señora de Palomo!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Si <strong>Giammattei</strong> quiere darse un Hit esta semana debería buscar la destitución de la señora de Palomo!</p>",2020-02-02 23:18:27,1580685507,1224109858590511104,/bidoguate1988/status/1224109858590511104,202923056,Bidoguate13,
4,False,[],[],True,True,106,[],1224102272352882689,6,"[{'screen_name': 'vozdeltuit', 'user_id': '56183126'}, {'screen_name': 'jimmymoralesgt', 'user_id': '1691434632'}]",40,FigueroaSarti,¿En serio? ¿Y esa Secretaría que no tiene la capacidad de saber dónde se encuentran sus empleados es la que tiene la responsabilidad de cuidar al presidente Giammattei? ¡Eso es muy grave! ¡No saben dónde están sus empleados pero sí hablan de atentados en contra del presidente!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">¿En serio? ¿Y esa Secretaría que no tiene la capacidad de saber dónde se encuentran sus empleados es la que tiene la responsabilidad de cuidar al presidente <strong>Giammattei</strong>? ¡Eso es muy grave! ¡No saben dónde están sus empleados pero sí hablan de atentados en contra del presidente!</p>",2020-02-02 23:14:52,1580685292,1224108953656754176,/FigueroaSarti/status/1224108953656754176,603601586,Raúl Figueroa Sarti,
5,False,[],[],False,True,3,[],1223998569725730816,0,"[{'screen_name': 'BerenDagor', 'user_id': '1125843130421534720'}, {'screen_name': 'sololenoPchairo', 'user_id': '967042350567624704'}]",1,cguate2020,"Giammattei ya estará pagando fafa con nuestros impuestos? Ya cerrarían trato para publicidad estatal a precios de ROBO,  ya ofrecería la impresión de textos del Minieduc?  Q no lo sueñe xq no lo vamos a permitir!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><strong>Giammattei</strong> ya estará pagando fafa con nuestros impuestos? Ya cerrarían trato para publicidad estatal a precios de ROBO,  ya ofrecería la impresión de textos del Minieduc?  Q no lo sueñe xq no lo vamos a permitir!</p>",2020-02-02 23:01:11,1580684471,1224105513299927040,/cguate2020/status/1224105513299927040,27559692,cguate,
6,False,[],[],False,True,0,[],1223804229023928321,0,"[{'screen_name': '3kiebres', 'user_id': '4884906049'}]",0,felicia28791734,Pídaselo al presidente giammattei el anda regalando puertos,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Pídaselo al presidente <strong>giammattei</strong> el anda regalando puertos</p>",2020-02-02 22:54:14,1580684054,1224103762043777024,/felicia28791734/status/1224103762043777024,1217177528856694785,feliciano,
7,True,[],['https://pbs.twimg.com/media/EPzcSG4VUAAZE9y.jpg'],False,False,3,['https://www.agn.com.gt/gobierno-del-presidente-giammattei-entrega-camara-de-oxigenacion-hiperbarica-para-atender-a-pacientes-con-quemaduras-en-el-hospital-de-escuintla/'],,0,[],2,AGN_noticias,Gobierno del presidente Giammattei entrega cámara de oxigenación hiperbárica para atender a pacientes con quemaduras en el hospital de Escuintla https://www.agn.com.gt/gobierno-del-presidente-giammattei-entrega-camara-de-oxigenacion-hiperbarica-para-atender-a-pacientes-con-quemaduras-en-el-hospital-de-escuintla/ …pic.twitter.com/aikvnNgOXn,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Gobierno del presidente <strong>Giammattei</strong> entrega cámara de oxigenación hiperbárica para atender a pacientes con quemaduras en el hospital de Escuintla <a class=""twitter-timeline-link"" data-expanded-url=""https://www.agn.com.gt/gobierno-del-presidente-giammattei-entrega-camara-de-oxigenacion-hiperbarica-para-atender-a-pacientes-con-quemaduras-en-el-hospital-de-escuintla/"" dir=""ltr"" href=""https://t.co/2vbKDAJHCo"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.agn.com.gt/gobierno-del-presidente-giammattei-entrega-camara-de-oxigenacion-hiperbarica-para-atender-a-pacientes-con-quemaduras-en-el-hospital-de-escuintla/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">agn.com.gt/gobierno-del-p</span><span class=""invisible"">residente-giammattei-entrega-camara-de-oxigenacion-hiperbarica-para-atender-a-pacientes-con-quemaduras-en-el-hospital-de-escuintla/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/aikvnNgOXn"">pic.twitter.com/aikvnNgOXn</a></p>",2020-02-02 22:21:02,1580682062,1224095409083240448,/AGN_noticias/status/1224095409083240448,235332308,AGN,
8,False,[],[],True,True,13,[],1224074237004128256,1,"[{'screen_name': 'DrGiammattei', 'user_id': '187793278'}, {'screen_name': 'senabed', 'user_id': '730075389398233088'}]",3,eestuardo1504,"Giammattei, que piensa del caso odebrecht? Sus asesores ya le platicaron del caso?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><strong>Giammattei</strong>, que piensa del caso odebrecht? Sus asesores ya le platicaron del caso?</p>",2020-02-02 22:20:37,1580682037,1224095301536972815,/eestuardo1504/status/1224095301536972815,2695744391,Estuardo De Leon,
9,True,[],['https://pbs.twimg.com/media/EPzbHDTWkAEEJZ4.jpg'],True,True,7,[],1224091774282600449,4,"[{'screen_name': 'LordVaderGT', 'user_id': '135490080'}]",5,M_V_MEJIA,"CAMBIEN A SAAS
Es último mensaje.
SAAS se encarga seguridad en Casa Presidencial y JAMÁS habría permitido llevarme algo sin que fuera denunciado.
Lleva razón presidente Giammattei al disolverla por ser cueva de CORRUPTOS.
Jimmy Morales patrocina net centers hasta que esté preso. pic.twitter.com/8UpQ6Cl0QG","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">CAMBIEN A SAAS
Es último mensaje.
SAAS se encarga seguridad en Casa Presidencial y JAMÁS habría permitido llevarme algo sin que fuera denunciado.
Lleva razón presidente <strong>Giammattei</strong> al disolverla por ser cueva de CORRUPTOS.
Jimmy Morales patrocina net centers hasta que esté preso. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/8UpQ6Cl0QG"">pic.twitter.com/8UpQ6Cl0QG</a></p>",2020-02-02 22:15:54,1580681754,1224094115454947329,/M_V_MEJIA/status/1224094115454947329,938782932948389888,Marco Vinicio Mejía Dávila,
