,has_media,hashtags,img_urls,is_replied,is_reply_to,likes,links,parent_tweet_id,replies,reply_to_users,retweets,screen_name,text,text_html,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username,video_url
0,False,[],[],True,False,31,['https://bit.ly/2ZLjQnw'],,19,[],1,lahoragt,"Giammattei dijo a La Hora que el chequeo es cada seis meses y está bien de salud 👇🏽👇🏽
https://bit.ly/2ZLjQnw ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><strong>Giammattei</strong> dijo a La Hora que el chequeo es cada seis meses y está bien de salud <img alt=""👇🏽"" aria-label=""Emoji: Dorso de la mano con el dedo índice señalando hacia abajo (tono de piel medio)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f447-1f3fd.png"" title=""Dorso de la mano con el dedo índice señalando hacia abajo (tono de piel medio)""/><img alt=""👇🏽"" aria-label=""Emoji: Dorso de la mano con el dedo índice señalando hacia abajo (tono de piel medio)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f447-1f3fd.png"" title=""Dorso de la mano con el dedo índice señalando hacia abajo (tono de piel medio)""/>
<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://bit.ly/2ZLjQnw"" dir=""ltr"" href=""https://t.co/FKc92Fzxfm"" rel=""nofollow noopener"" target=""_blank"" title=""https://bit.ly/2ZLjQnw""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">bit.ly/2ZLjQnw</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",2020-07-06 23:50:29,1594079429,1280288039315611650,/lahoragt/status/1280288039315611650,168557941,Diario La Hora,
1,False,[],[],True,False,2,[],,1,[],0,chinowifi,"¿Por qupe no hablo Giammattei ayer?
¿Estará enfermo?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">¿Por qupe no hablo <strong>Giammattei</strong> ayer?
¿Estará enfermo?</p>",2020-07-06 23:49:04,1594079344,1280287681348620289,/chinowifi/status/1280287681348620289,290295948,-DavidB-,
2,False,[],[],False,True,1,[],1280179114855600130,0,"[{'screen_name': 'Estuardocruz11', 'user_id': '4540531761'}, {'screen_name': 'allanymorales', 'user_id': '1517473392'}]",0,leonelmartic,"Si es por el beso creo que si aparecerá , mejor si es el de Giammattei o Linares","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Si es por el beso creo que si aparecerá , mejor si es el de <strong>Giammattei</strong> o Linares</p>",2020-07-06 23:47:03,1594079223,1280287175154769921,/leonelmartic/status/1280287175154769921,2545340597,Leonel Martinez,
3,False,[],[],False,False,3,['https://twitter.com/El_principitoGT/status/1279915580183715846'],,0,[],1,El_principitoGT,Interesantes resultados! Es mejor que ya no salga Giammattei en las cadenas nacionales... https://twitter.com/El_principitoGT/status/1279915580183715846 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">Interesantes resultados! Es mejor que ya no salga <strong>Giammattei</strong> en las cadenas nacionales... <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/El_principitoGT/status/1279915580183715846"" dir=""ltr"" href=""https://t.co/E6tx6U2mOR"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/El_principitoGT/status/1279915580183715846""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/El_principitoG</span><span class=""invisible"">T/status/1279915580183715846</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",2020-07-06 23:39:15,1594078755,1280285212761620480,/El_principitoGT/status/1280285212761620480,281322002,⭐El_PrincipitoGt⭐,
4,False,"['CoronavirusGt', 'TodoComunica', 'LordPajas']",[],False,False,11,[],,0,[],5,carlosanchezurd,"Guatemala gana a Hollywood, la Secretaria de la Presidencia en Co Produccion con el  periodismo plegado a Cacif, hace películas, para qué de un día para otro, el borrego promedio pase de “Qué tremendo saqueo” al “Está enfermo Giammattei” #CoronavirusGt #TodoComunica #LordPajas","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Guatemala gana a Hollywood, la Secretaria de la Presidencia en Co Produccion con el  periodismo plegado a Cacif, hace películas, para qué de un día para otro, el borrego promedio pase de “Qué tremendo saqueo” al “Está enfermo <strong>Giammattei</strong>” <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CoronavirusGt?src=hash""><s>#</s><b>CoronavirusGt</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TodoComunica?src=hash""><s>#</s><b>TodoComunica</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LordPajas?src=hash""><s>#</s><b>LordPajas</b></a></p>",2020-07-06 23:25:00,1594077900,1280281625901895681,/carlosanchezurd/status/1280281625901895681,816494229870563328,Carlos Sanchez Alfaro,
5,False,[],[],False,False,1,['https://twitter.com/DrGiammattei/status/1280268534954840068'],,0,[],0,azulnegronaranj,"Adelante presidente Giammattei; lo apoyamos en su lucha contra el Covid-19.
Esperamos que pronto llegue la normalidad al país de la eterna primavera. https://twitter.com/DrGiammattei/status/1280268534954840068 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">Adelante presidente <strong>Giammattei</strong>; lo apoyamos en su lucha contra el Covid-19.
Esperamos que pronto llegue la normalidad al país de la eterna primavera. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/DrGiammattei/status/1280268534954840068"" dir=""ltr"" href=""https://t.co/HgAWw8vvlj"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/DrGiammattei/status/1280268534954840068""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/DrGiammattei/s</span><span class=""invisible"">tatus/1280268534954840068</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",2020-07-06 23:22:33,1594077753,1280281007938310144,/azulnegronaranj/status/1280281007938310144,861252998374338561,CArrilloFUnes(CAFU2),
6,False,[],[],False,False,2,[],,0,[],2,mynormetal,Eso de que Giammattei está enfermo ya lo sabíamos desde antes de que fuera presidente.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Eso de que <strong>Giammattei</strong> está enfermo ya lo sabíamos desde antes de que fuera presidente.</p>",2020-07-06 23:16:04,1594077364,1280279377260011521,/mynormetal/status/1280279377260011521,1092761156,Pelúo ➓,
7,False,"['LordPajas', 'URGENTE', 'CoronavirusGT', 'LuchaDeClases', 'Guatemala']",[],True,False,6,[],,2,[],3,carlosanchezurd,"La estrategia kaibil más efectiva de Cacif y militares, quienes dan órdenes a la Secretaria de la Presidencia, se basa en: robo de Rolex, que suban los sicariatos o enfermar a Giammattei, para que no se hable del saqueo #LordPajas #URGENTE #CoronavirusGT #LuchaDeClases #Guatemala","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">La estrategia kaibil más efectiva de Cacif y militares, quienes dan órdenes a la Secretaria de la Presidencia, se basa en: robo de Rolex, que suban los sicariatos o enfermar a <strong>Giammattei</strong>, para que no se hable del saqueo <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LordPajas?src=hash""><s>#</s><b>LordPajas</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/URGENTE?src=hash""><s>#</s><b>URGENTE</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CoronavirusGT?src=hash""><s>#</s><b>CoronavirusGT</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LuchaDeClases?src=hash""><s>#</s><b>LuchaDeClases</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Guatemala?src=hash""><s>#</s><b>Guatemala</b></a></p>",2020-07-06 23:12:14,1594077134,1280278411294978049,/carlosanchezurd/status/1280278411294978049,816494229870563328,Carlos Sanchez Alfaro,
8,False,[],[],False,False,12,[],,0,[],3,Engelgblanco,"A la UNE le alcanzaba para dar Q300 y cajas solidarias, cada mes, sin pedir prestamos a cada rato, y Giammattei las cajas se las donaron, solamente las dio una vez, y quiere reducir el bono familia. No es apoyo a la UNE solo es comparativa.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">A la UNE le alcanzaba para dar Q300 y cajas solidarias, cada mes, sin pedir prestamos a cada rato, y <strong>Giammattei</strong> las cajas se las donaron, solamente las dio una vez, y quiere reducir el bono familia. No es apoyo a la UNE solo es comparativa.</p>",2020-07-06 23:11:33,1594077093,1280278239139827713,/Engelgblanco/status/1280278239139827713,843381380230864897,Engelberth Blanco,
9,False,[],[],False,False,3,[],,0,[],0,shutequesuno,"Ya lo desmintieron. 
Giammattei no está gordo, un poco hinchado nada más.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Ya lo desmintieron. 
<strong>Giammattei</strong> no está gordo, un poco hinchado nada más.</p>",2020-07-06 22:53:36,1594076016,1280273723728244739,/shutequesuno/status/1280273723728244739,270468936,Shutequesuno,
