,has_media,hashtags,img_urls,is_replied,is_reply_to,likes,links,parent_tweet_id,replies,reply_to_users,retweets,screen_name,text,text_html,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username,video_url
0,False,['PactoDeCorruptos'],[],True,True,4,[],1270049076126588931,1,"[{'screen_name': 'InG_LoMs', 'user_id': '481544863'}, {'screen_name': 'edgar_ortizgt', 'user_id': '388281124'}]",1,mazariegos_lima,"No sabemos de qué se trata la tal reforma, pero si sabemos quién es Giammattei, quiénes son los diputados actuales y no tienen ninguna credibilidad, al contrario se plegaron al #PactoDeCorruptos","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">No sabemos de qué se trata la tal reforma, pero si sabemos quién es <strong>Giammattei</strong>, quiénes son los diputados actuales y no tienen ninguna credibilidad, al contrario se plegaron al <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PactoDeCorruptos?src=hash""><s>#</s><b>PactoDeCorruptos</b></a></p>",2020-06-08 23:53:53,1591660433,1270142034632982528,/mazariegos_lima/status/1270142034632982528,994405085588393984,Williams Mazariegos Lima,
1,False,[],[],True,False,1225,[],,217,[],531,sergistack,"¿USAS GOOGLE CHROME?

Lo siento por las mayúsculas, pero existe un nuevo navegador que es más rápido y más privado que Chrome (bloquea los anuncios y los rastreadores, lo cual ahorra tiempo de carga).

La interfaz es exactamente igual que la de Chrome, Brave lo supera en todo.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">¿USAS GOOGLE CHROME?

Lo siento por las mayúsculas, pero existe un nuevo navegador que es más rápido y más privado que Chrome (bloquea los anuncios y los rastreadores, lo cual ahorra tiempo de carga).

La interfaz es exactamente igual que la de Chrome, Brave lo supera en todo.</p>",2020-03-28 20:07:18,1585426038,1243993087531266049,/sergistack/status/1243993087531266049,272910982,Sergi Stack,
2,False,[],[],False,True,13,[],1270138197016825858,0,"[{'screen_name': 'soy_502', 'user_id': '1687984068'}]",0,Remolac72170625,"El me agrada, sabemos que no se lleva con Giammattei desde tiempos de campaña y que han tenido sus problemas, pero me gusta su humildad y que anda trabajando sin hacerse publicidad el sólo.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">El me agrada, sabemos que no se lleva con <strong>Giammattei</strong> desde tiempos de campaña y que han tenido sus problemas, pero me gusta su humildad y que anda trabajando sin hacerse publicidad el sólo.</p>",2020-06-08 23:51:14,1591660274,1270141365456900097,/Remolac72170625/status/1270141365456900097,1179011835074355200,Charly M.,
3,False,[],[],False,True,0,[],1270127386852556800,0,"[{'screen_name': 'ActualidadRT', 'user_id': '100731315'}]",0,Horaciolopezmo1,"Los guatemaltecos son tan primitivos, que les puso estados unidos, un presidente titere italiano Alejandro Giammattei, ese país es tercermundista, así como el Salvador.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Los guatemaltecos son tan primitivos, que les puso estados unidos, un presidente titere italiano Alejandro <strong>Giammattei</strong>, ese país es tercermundista, así como el Salvador.</p>",2020-06-08 23:47:33,1591660053,1270140439115563009,/Horaciolopezmo1/status/1270140439115563009,832652258793840647,RerUMn,
4,True,"['Guatemala', 'Coronavirus']",['https://pbs.twimg.com/media/EaBxtHOXsAU-BgH.jpg'],False,False,0,[],,0,[],0,radio580nic,"Presidente de #Guatemala, Alejandro Giammattei, anuncia que tanto él como el vicepresidente Willy Castillo Reyes ejercerán sus funciones vía teletrabajo, debido a que 18 casos del nuevo #Coronavirus han sido detectados en la Casa Presidencial.pic.twitter.com/RgZDk8GnAv","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Presidente de <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Guatemala?src=hash""><s>#</s><b>Guatemala</b></a>, Alejandro <strong>Giammattei</strong>, anuncia que tanto él como el vicepresidente Willy Castillo Reyes ejercerán sus funciones vía teletrabajo, debido a que 18 casos del nuevo <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Coronavirus?src=hash""><s>#</s><b>Coronavirus</b></a> han sido detectados en la Casa Presidencial.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/RgZDk8GnAv"">pic.twitter.com/RgZDk8GnAv</a></p>",2020-06-08 23:46:16,1591659976,1270140117018185728,/radio580nic/status/1270140117018185728,2544217908,Radio 580 Nicaragua,
5,False,['FECI'],[],False,False,4,[],,0,[],0,Legan_ki,SOLO PASO A RECORDARLE AL @MPguatemala QUE EL JR DE GIAMMATTEI NO TIENE DERECHO DE ANTEJUICIO ASÍ QUE OJALÁ LA #FECI EMPIECE A INVESTIGARLO YA QUE LA CONY LO DUDO MUCHO,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">SOLO PASO A RECORDARLE AL <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""609174347"" dir=""ltr"" href=""/MPguatemala""><s>@</s><b>MPguatemala</b></a> QUE EL JR DE <strong>GIAMMATTEI</strong> NO TIENE DERECHO DE ANTEJUICIO ASÍ QUE OJALÁ LA <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FECI?src=hash""><s>#</s><b>FECI</b></a> EMPIECE A INVESTIGARLO YA QUE LA CONY LO DUDO MUCHO</p>",2020-06-08 23:33:16,1591659196,1270136844819271680,/Legan_ki/status/1270136844819271680,281715339,LEGAN,
6,False,[],[],False,True,0,[],1270083658834157572,0,"[{'screen_name': 'vichoguate', 'user_id': '258996349'}]",0,auroris_mc,Se supone que eso ya lo había dicho Giammattei desde que empezamos con esto,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Se supone que eso ya lo había dicho <strong>Giammattei</strong> desde que empezamos con esto</p>",2020-06-08 23:33:02,1591659182,1270136787831271426,/auroris_mc/status/1270136787831271426,1057459767571030021,Auroris Martínez,
7,False,[],[],False,False,0,[],,0,[],0,Carolps49,Creí que el gobierno de Giammattei sería distinto pero es tan malo o peor que el de Jimmy. Hay un dicho que dice que el gobierno peor es el que viene y aquí en Guate se cumple eso. 😥😥😩,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Creí que el gobierno de <strong>Giammattei</strong> sería distinto pero es tan malo o peor que el de Jimmy. Hay un dicho que dice que el gobierno peor es el que viene y aquí en Guate se cumple eso. <img alt=""😥"" aria-label=""Emoji: Cara de decepción pero aliviada"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f625.png"" title=""Cara de decepción pero aliviada""/><img alt=""😥"" aria-label=""Emoji: Cara de decepción pero aliviada"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f625.png"" title=""Cara de decepción pero aliviada""/><img alt=""😩"" aria-label=""Emoji: Cara cansada"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f629.png"" title=""Cara cansada""/></p>",2020-06-08 23:23:18,1591658598,1270134336923357185,/Carolps49/status/1270134336923357185,367734624,Carol,
8,False,[],[],True,True,11,[],1270126822710181889,1,"[{'screen_name': 'josepablo_mj', 'user_id': '885221915551571970'}]",3,marvindelcid,No solo Giammattei varios de los funcionarios. El tema es grave.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">No solo <strong>Giammattei</strong> varios de los funcionarios. El tema es grave.</p>",2020-06-08 23:12:46,1591657966,1270131685099700224,/marvindelcid/status/1270131685099700224,64787241,marvindaviddelcid,
9,False,[],[],False,True,1,[],1270114957443637248,0,"[{'screen_name': 'JulioMunoz81', 'user_id': '877183891'}, {'screen_name': 'allanymorales', 'user_id': '1517473392'}]",1,Guiller49871812,"El ministro también tiene soporte político,  Giammattei le dió el ministerio, porque no ganó  escaño para el congreso...","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">El ministro también tiene soporte político,  <strong>Giammattei</strong> le dió el ministerio, porque no ganó  escaño para el congreso...</p>",2020-06-08 23:06:04,1591657564,1270130001678159872,/Guiller49871812/status/1270130001678159872,800030424445501441,Guillermo Rodriguez,
