,has_media,hashtags,img_urls,is_replied,is_reply_to,likes,links,parent_tweet_id,replies,reply_to_users,retweets,screen_name,text,text_html,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username,video_url
0,False,[],[],True,True,1,[],1234261805263990784,1,"[{'screen_name': 'fuhrer_pablito', 'user_id': '1220413158709497857'}]",0,albertoreyes84,"Yo ni coco les pongo vos, el que me comparta algo por wtsp, les digo q no sean mulas, hasta no ver al ministro de salud y a Giammattei no me asustare, ni lo de México me asusta, así fue con la fiebre chochina y gracias a Dios no paso a mayores","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Yo ni coco les pongo vos, el que me comparta algo por wtsp, les digo q no sean mulas, hasta no ver al ministro de salud y a <strong>Giammattei</strong> no me asustare, ni lo de México me asusta, así fue con la fiebre chochina y gracias a Dios no paso a mayores</p>",2020-03-01 23:46:07,1583106367,1234263679044145154,/albertoreyes84/status/1234263679044145154,151137282,Jorge Alberto Reyes,
1,False,[],[],False,False,0,['https://www.msn.com/es-mx/noticias/mexico/reportan-primer-caso-de-coronavirus-en-chiapas/ar-BB10Bnm7?li=AAggpOd'],,0,[],0,mmaakkiittoo,"Dr GIAMMATTEI se puede hacer algo en la frontera?
https://www.msn.com/es-mx/noticias/mexico/reportan-primer-caso-de-coronavirus-en-chiapas/ar-BB10Bnm7?li=AAggpOd …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Dr <strong>GIAMMATTEI</strong> se puede hacer algo en la frontera?
<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.msn.com/es-mx/noticias/mexico/reportan-primer-caso-de-coronavirus-en-chiapas/ar-BB10Bnm7?li=AAggpOd"" dir=""ltr"" href=""https://t.co/xcAloxyxnY"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.msn.com/es-mx/noticias/mexico/reportan-primer-caso-de-coronavirus-en-chiapas/ar-BB10Bnm7?li=AAggpOd""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">msn.com/es-mx/noticias</span><span class=""invisible"">/mexico/reportan-primer-caso-de-coronavirus-en-chiapas/ar-BB10Bnm7?li=AAggpOd</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",2020-03-01 23:01:06,1583103666,1234252352728768514,/mmaakkiittoo/status/1234252352728768514,138155479,marco lopez,
2,True,[],"['https://pbs.twimg.com/media/ESDx6EFWsAADZAE.jpg', 'https://pbs.twimg.com/media/ESDx6EIWAAgATsz.jpg', 'https://pbs.twimg.com/media/ESDx6ETXUAAK4QU.jpg', 'https://pbs.twimg.com/media/ESDx6EYWoAAs8Yz.jpg']",True,False,45,[],,17,[],27,MinSaludGuate,"En seguimiento a las instrucciones brindadas por el Presidente de la República, doctor Alejandro Giammattei, el Ministro de Salud Pública y Asistencia Social doctor Hugo Monroy, el Director General de Aeronáutica Civil Francis Argueta (...) pic.twitter.com/nHKlOVhibb","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">En seguimiento a las instrucciones brindadas por el Presidente de la República, doctor Alejandro <strong>Giammattei</strong>, el Ministro de Salud Pública y Asistencia Social doctor Hugo Monroy, el Director General de Aeronáutica Civil Francis Argueta (...) <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/nHKlOVhibb"">pic.twitter.com/nHKlOVhibb</a></p>",2020-03-01 23:00:53,1583103653,1234252297758179330,/MinSaludGuate/status/1234252297758179330,989532019,Ministerio de Salud Pública,
3,False,['Internacionales'],[],False,False,1,['http://bit.ly/2TrWm3L'],,0,[],1,hoynoticias,#Internacionales El presidente Alejandro Giammattei dijo este viernes de que el coronavirus podría llegar a Guatemala en cuestión de semanas.   http://bit.ly/2TrWm3L ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Internacionales?src=hash""><s>#</s><b>Internacionales</b></a> El presidente Alejandro <strong>Giammattei</strong> dijo este viernes de que el coronavirus podría llegar a Guatemala en cuestión de semanas.   <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://bit.ly/2TrWm3L"" dir=""ltr"" href=""https://t.co/Z5HjVmbTdN"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2TrWm3L""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2TrWm3L</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",2020-03-01 22:11:37,1583100697,1234239897751429120,/hoynoticias/status/1234239897751429120,132927850,Periódico HOY,
4,False,[],[],False,False,0,[],,0,[],0,vmoreira,"Nada para inspirar y movilizar a las masas contra el acoso sexual y la ratificación del Convenio 189 de la OIT sobre trabajo doméstico, como los stickers que cubren completamente el trasero de las camionetas. ¿Han sentido el cambio que ha habido en MiWate, aparte de Giammattei?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Nada para inspirar y movilizar a las masas contra el acoso sexual y la ratificación del Convenio 189 de la OIT sobre trabajo doméstico, como los stickers que cubren completamente el trasero de las camionetas. ¿Han sentido el cambio que ha habido en MiWate, aparte de <strong>Giammattei</strong>?</p>",2020-03-01 21:17:41,1583097461,1234226324530745350,/vmoreira/status/1234226324530745350,10629922,Victor Moreira,
5,False,[],[],False,True,2,[],1234111142244560897,0,"[{'screen_name': 'Cl3281', 'user_id': '863461169864073222'}]",1,18ea66ad8b9b478,Todo eso lo tiene el presidente Alejandro Giammattei por no hechar a la droga a esos parasitos de nuestro pais NON GRATO,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Todo eso lo tiene el presidente Alejandro <strong>Giammattei</strong> por no hechar a la droga a esos parasitos de nuestro pais NON GRATO</p>",2020-03-01 21:10:45,1583097045,1234224582841769985,/18ea66ad8b9b478/status/1234224582841769985,2721433263,comite laguna tivoli,
6,False,[],[],False,True,2,[],1234193013649354753,0,"[{'screen_name': 'floresasturias', 'user_id': '175805307'}, {'screen_name': 'sdaquino', 'user_id': '150419791'}]",0,papo_ruiz,Buenos Días Dr. Giammattei. Le suplicamos los Guatemaltecos que andan viajando en los transportes Asesinos sean castigados severamente. A los Policias los miran como basura. Los dueños son  personas sin escrúpulos. Ponga orden por favor. Yo he seguido a casi todos los buses y no,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Buenos Días Dr. <strong>Giammattei</strong>. Le suplicamos los Guatemaltecos que andan viajando en los transportes Asesinos sean castigados severamente. A los Policias los miran como basura. Los dueños son  personas sin escrúpulos. Ponga orden por favor. Yo he seguido a casi todos los buses y no</p>",2020-03-01 20:53:19,1583095999,1234220192198275072,/papo_ruiz/status/1234220192198275072,2494912631,Papo Ruiz,
7,False,[],[],False,True,0,[],1234163523107815424,0,"[{'screen_name': 'el_Periodico', 'user_id': '19624061'}]",0,wiChoRl,Lo mejor es que estén ocupados en beneficio de los guatemaltecos. Los del periódico tergiversan las noticias para hacer quedar mal al gobierno dw Giammattei,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Lo mejor es que estén ocupados en beneficio de los guatemaltecos. Los del periódico tergiversan las noticias para hacer quedar mal al gobierno dw <strong>Giammattei</strong></p>",2020-03-01 19:31:25,1583091085,1234199582571220996,/wiChoRl/status/1234199582571220996,700964599,Luis Avendaño,
8,True,['NoALaLeyAntiONGspic'],['https://pbs.twimg.com/media/ESCuwSXXsAEALUg.jpg'],False,False,2,[],,0,[],0,Redsag_Redssag,"REDSAG lamenta la reciente sanción de parte del presidente Giammattei, aca nuestro posicionamiento, claramente es un duro golpe a la democracia, no queremos regresar al pasado, ojo pueblo con el trasfondo de lo que pasa en el país.

#NoALaLeyAntiONGspic.twitter.com/QDObPX68E0","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">REDSAG lamenta la reciente sanción de parte del presidente <strong>Giammattei</strong>, aca nuestro posicionamiento, claramente es un duro golpe a la democracia, no queremos regresar al pasado, ojo pueblo con el trasfondo de lo que pasa en el país.

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NoALaLeyAntiONGs?src=hash""><s>#</s><b>NoALaLeyAntiONGs</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/QDObPX68E0"">pic.twitter.com/QDObPX68E0</a></p>",2020-03-01 18:11:02,1583086262,1234179352029540352,/Redsag_Redssag/status/1234179352029540352,3287750546,REDSAG,
9,True,[],['https://pbs.twimg.com/media/ESCop8CWAAAoN9r.jpg'],False,False,0,['http://tinyurl.com/s7hhlhj'],,0,[],0,ReporteNi,Guatemala declara alerta amarilla ante amenaza de coronavirus. El presidente Alejandro Giammattei dijo este viernes de que el coronavirus podría llegar a Guatemala en cuestión de semanas.... http://tinyurl.com/s7hhlhj pic.twitter.com/lLKFNWrJ3q,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Guatemala declara alerta amarilla ante amenaza de coronavirus. El presidente Alejandro <strong>Giammattei</strong> dijo este viernes de que el coronavirus podría llegar a Guatemala en cuestión de semanas.... <a class=""twitter-timeline-link"" data-expanded-url=""http://tinyurl.com/s7hhlhj"" dir=""ltr"" href=""https://t.co/UCzwcu3vwE"" rel=""nofollow noopener"" target=""_blank"" title=""http://tinyurl.com/s7hhlhj""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">tinyurl.com/s7hhlhj</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/lLKFNWrJ3q"">pic.twitter.com/lLKFNWrJ3q</a></p>",2020-03-01 17:40:46,1583084446,1234171737396449285,/ReporteNi/status/1234171737396449285,434585942,🇳🇮 Reportes Nicas! 🇳🇮,
